State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
GA,South,South Atlantic,Screven County,13251,13251,Insuff Data,1/1/2014,10691.0,0.15,3.6,2.7,0.1,0.19,0.338,5.809,0.344,0.225,,0.25,640.4,62.3,0.209,14.0,21.0,7.0,78.13,0.87,0.62,0.82,0.416,0.116,0.382,,0.444,,147.93,78.3,12.71,0.0,0.132,0.807,0.367,14202,0.002,0.789,0.129,216.6,526.7,15.6,98.6,0.221,0.092,26.87,,0.26,0.086,9162.0,0.248,21.0,33508,0.625,11.52,0.177
GA,South,South Atlantic,Screven County,13251,13251,Insuff Data,1/1/2015,8968.0,0.15,3.6,2.7,0.1,0.19,0.341,5.5,0.329,0.533,,0.3,521.1,64.1,0.212,14.0,21.0,28.0,60.02,0.9,0.61,0.825,0.483,0.106,0.405,5.633,0.486,9.858,199.03,74.1,12.71,0.005,0.142,0.836,0.375,14240,0.002,0.789,0.134,216.6,477.3,14.4,,0.212,0.092,27.27,,0.262,0.091,8474.0,0.248,21.0,35087,,10.3,
GA,South,South Atlantic,Seminole County,13253,13253,Insuff Data,1/1/2014,10643.0,0.201,2.7,,0.1,0.172,0.322,6.997,0.313,0.301,,0.111,659.8,79.6,0.225,102.0,55.0,11.0,124.58,0.8,0.61,0.725,0.594,0.093,0.404,,0.462,,195.53,93.2,12.22,0.0,0.165,0.843,0.351,8947,0.004,0.686,0.148,178.7,474.6,,,0.194,0.03,30.67,,0.277,0.093,10158.0,0.153,,31785,0.663,,
GA,South,South Atlantic,Seminole County,13253,13253,Insuff Data,1/1/2015,12930.0,0.201,2.7,,0.1,0.172,0.296,6.8,0.317,0.577,,0.0,491.8,73.9,0.205,112.0,56.0,34.0,142.78,0.82,0.51,0.725,0.574,0.084,0.434,5.217,0.512,15.648,257.01,104.4,12.22,0.0,0.194,0.803,0.391,8945,0.001,0.686,0.14,178.7,553.7,,,0.187,0.03,34.02,,0.254,0.084,9804.0,0.153,,34814,0.671,,
GA,South,South Atlantic,Spalding County,13255,13255,Region 24,1/1/2014,10424.0,0.217,4.2,3.4,0.14,0.196,0.34,6.256,0.286,0.329,,0.189,518.5,73.7,0.21,47.0,28.0,38.0,76.33,0.84,0.58,0.59,0.457,0.113,0.374,,0.439,,445.02,70.8,13.1,0.0,0.203,0.801,0.395,63865,0.012,0.416,0.126,133.0,495.4,11.7,85.4,0.21,0.07,19.63,12.55,0.265,0.078,9372.0,0.189,50.0,35761,0.644,5.71,0.129
GA,South,South Atlantic,Spalding County,13255,13255,Region 24,1/1/2015,9963.0,0.217,4.2,3.4,0.14,0.196,0.355,6.0,0.271,0.707,,0.213,524.5,70.9,0.21,49.0,28.0,74.0,71.99,0.84,0.58,0.64,0.456,0.107,0.349,5.098,0.427,11.274,470.3,75.1,13.1,0.0,0.207,0.812,0.396,63829,0.009,0.416,0.135,133.0,492.1,10.8,66.7,0.203,0.07,16.65,14.18,0.263,0.082,9678.0,0.189,58.0,39068,0.661,7.6,
GA,South,South Atlantic,Stephens County,13257,13257,Region 24,1/1/2014,9339.0,0.192,5.3,,0.1,0.18,0.317,7.404,0.269,0.889,,0.263,308.2,53.4,0.219,65.0,34.0,42.0,98.84,0.87,0.6,0.82,0.438,0.092,0.328,,0.322,,245.91,92.8,13.26,0.0,0.191,0.803,0.251,25891,0.006,0.586,0.15,54.1,485.1,,54.7,0.161,0.054,28.89,19.44,0.265,0.1,10018.0,0.159,81.0,34384,0.504,,0.181
GA,South,South Atlantic,Stephens County,13257,13257,Region 24,1/1/2015,10237.0,0.192,5.3,,0.1,0.18,0.302,7.2,0.294,0.908,,0.2,359.2,52.4,0.192,66.0,35.0,51.0,75.04,0.9,0.58,0.86,0.44,0.079,0.311,4.524,0.322,17.381,281.25,102.2,13.26,0.0,0.176,0.807,0.287,25683,0.003,0.586,0.141,54.1,509.4,,,0.156,0.054,27.04,23.73,0.237,0.076,9916.0,0.159,82.0,36318,0.512,6.5,
GA,South,South Atlantic,Stewart County,13259,13259,Insuff Data,1/1/2014,13978.0,,,,0.12,,0.346,5.869,0.285,0.05,,0.231,727.6,91.4,0.221,85.0,,38.0,127.5,0.65,0.32,,0.255,0.114,0.485,,0.714,,297.97,,12.62,0.265,0.144,0.727,0.479,6042,0.069,1.0,0.136,221.4,628.9,,,0.231,0.067,,,0.264,0.099,10357.0,,83.0,27009,0.832,,
GA,South,South Atlantic,Stewart County,13259,13259,Insuff Data,1/1/2015,10575.0,,,,0.12,,0.328,5.3,0.289,0.05,,0.2,513.1,88.6,0.215,83.0,,51.0,108.97,0.76,0.47,,0.205,0.11,0.44,5.422,0.744,9.93,88.06,70.5,12.62,0.239,0.135,0.716,0.443,5868,0.1,1.0,0.131,221.4,544.0,,,0.236,0.067,,,0.259,0.087,9632.0,,102.0,28304,0.853,,
GA,South,South Atlantic,Sumter County,13261,13261,Region 24,1/1/2014,8326.0,0.149,3.0,3.0,0.11,0.201,0.372,5.151,0.304,0.556,,0.263,1061.2,62.8,0.223,58.0,42.0,84.0,50.8,0.82,0.58,0.63,0.49,0.128,0.461,,0.542,,846.77,50.5,12.53,0.009,0.195,0.787,0.204,31554,0.018,0.418,0.136,271.5,452.2,9.7,41.0,0.253,0.094,16.97,,0.28,0.094,8235.0,0.159,79.0,32590,0.769,6.53,0.265
GA,South,South Atlantic,Sumter County,13261,13261,Region 24,1/1/2015,9161.0,0.149,3.0,3.0,0.12,0.201,0.35,4.7,0.288,0.759,,0.353,947.6,60.4,0.217,67.0,48.0,147.0,54.64,0.83,0.59,0.6,0.493,0.123,0.54,5.964,0.556,13.311,810.26,46.1,12.53,0.41,0.197,0.79,0.218,31364,0.016,0.418,0.124,271.5,482.5,7.6,,0.249,0.094,14.89,,0.276,0.083,8410.0,0.159,80.0,32474,0.762,6.6,
GA,South,South Atlantic,Talbot County,13263,13263,Region 24,1/1/2014,10631.0,0.177,,,0.16,,0.348,6.64,0.308,0.157,,0.3,844.3,62.9,0.212,15.0,15.0,15.0,,0.75,0.53,0.475,0.472,0.093,0.4,,0.495,,217.52,112.6,12.93,0.0,0.172,0.816,0.459,6517,0.002,0.939,0.167,257.5,496.4,,,0.214,0.026,35.19,,0.247,0.1,8319.0,,,30909,0.79,,
GA,South,South Atlantic,Talbot County,13263,13263,Region 24,1/1/2015,9773.0,0.177,,,0.15,,0.338,6.3,0.304,0.06,,0.4,751.9,67.9,0.212,15.0,15.0,31.0,47.72,0.82,0.65,,0.489,0.085,0.407,5.348,0.585,7.672,189.82,120.9,12.93,0.0,0.154,0.797,0.523,6456,0.002,0.939,0.17,257.5,476.0,,,0.211,0.026,41.76,,0.25,0.09,8808.0,,,33168,,,
GA,South,South Atlantic,Taliaferro County,13265,13265,Insuff Data,1/1/2014,13295.0,,,,0.15,,0.352,1.599,0.328,0.353,,0.0,352.3,71.3,0.264,0.0,0.0,,,0.8,,,0.275,0.108,0.449,,0.473,,593.79,,12.97,0.0,0.182,0.867,0.428,1680,0.0,1.0,0.163,,649.1,,,0.252,0.439,,,0.313,0.11,8770.0,,,27124,0.821,,
GA,South,South Atlantic,Taliaferro County,13265,13265,Insuff Data,1/1/2015,12025.0,,,,0.16,,0.35,1.5,0.309,0.406,,0.0,535.7,72.5,0.245,0.0,0.0,,,0.76,,,0.263,0.09,0.454,4.265,0.39,11.905,476.46,,12.97,0.0,0.141,0.88,0.47,1703,0.0,1.0,0.157,,590.1,,,0.232,0.439,,,0.294,0.094,6707.0,,0.0,28917,0.825,,
GA,South,South Atlantic,Tattnall County,13267,13267,Region 24,1/1/2014,10223.0,0.192,5.7,5.5,0.09,0.315,0.315,7.209,0.308,0.233,,0.292,358.1,87.7,0.268,23.0,7.0,3.0,83.92,0.85,0.51,0.6,0.327,0.101,0.353,,0.406,,154.11,82.5,12.7,0.134,0.12,0.769,0.334,25384,0.031,0.682,0.105,229.8,491.5,11.3,99.7,0.191,0.015,24.49,14.33,0.326,0.135,9463.0,0.216,28.0,37818,0.641,10.15,0.224
GA,South,South Atlantic,Tattnall County,13267,13267,Region 24,1/1/2015,8909.0,0.192,5.7,5.5,0.09,0.315,0.352,6.9,0.321,0.369,,0.263,386.1,83.9,0.249,20.0,8.0,12.0,84.23,0.86,0.55,0.62,0.334,0.096,0.376,5.419,0.404,8.667,123.59,82.1,12.7,0.136,0.151,0.782,0.329,25526,0.029,0.682,0.102,229.8,472.2,10.8,83.3,0.188,0.015,28.44,12.19,0.307,0.118,10605.0,0.216,35.0,35983,0.661,7.9,
GA,South,South Atlantic,Taylor County,13269,13269,Region 24,1/1/2014,8644.0,0.207,4.9,,0.12,0.206,0.33,6.012,0.297,,,0.222,623.6,64.4,0.221,,12.0,12.0,91.98,0.84,0.57,0.525,0.5,0.126,0.411,,0.423,,146.34,83.4,12.83,0.0,0.163,0.787,0.36,8420,0.0,1.0,0.133,227.6,470.4,,,0.233,0.05,27.35,,0.272,0.094,9897.0,0.258,12.0,30266,0.712,,
GA,South,South Atlantic,Taylor County,13269,13269,Region 24,1/1/2015,10483.0,0.207,4.9,,0.11,0.206,0.326,5.6,0.312,0.324,,0.273,795.7,63.3,0.214,,12.0,12.0,75.44,0.79,0.58,0.675,0.47,0.107,0.41,6.244,0.414,14.252,181.0,61.9,12.83,0.0,0.198,0.776,0.395,8464,0.0,1.0,0.135,227.6,492.2,,,0.229,0.05,22.84,,0.262,0.089,9107.0,0.258,24.0,30538,0.705,,
GA,South,South Atlantic,Telfair County,13271,13271,Region 24,1/1/2014,8198.0,0.287,4.2,3.6,0.11,0.272,0.306,5.48,0.31,0.102,,0.571,485.8,72.8,0.23,37.0,10.0,,135.11,0.83,0.47,0.775,0.237,0.155,0.489,,0.54,,253.35,64.8,12.57,0.0,0.11,0.913,0.243,16349,0.052,0.47,0.121,281.6,414.2,,77.3,0.267,0.036,18.18,,0.284,0.092,12040.0,0.308,6.0,27655,0.669,10.91,
GA,South,South Atlantic,Telfair County,13271,13271,Region 24,1/1/2015,7354.0,0.287,4.2,3.6,0.11,0.272,0.3,5.3,0.316,0.121,,0.556,428.2,69.4,0.219,37.0,12.0,,128.54,0.79,0.52,0.675,0.24,0.156,0.406,5.84,0.538,9.787,191.6,59.0,12.57,0.026,0.141,0.91,0.257,16591,0.061,0.47,0.121,281.6,395.6,,,0.25,0.036,16.86,8.88,0.272,0.086,11893.0,0.308,6.0,28334,,8.9,
GA,South,South Atlantic,Terrell County,13273,13273,Region 20,1/1/2014,12029.0,,,,0.17,,0.386,5.981,0.305,0.06,,0.2,761.9,91.6,0.21,,11.0,,63.85,0.62,0.66,0.775,0.353,0.098,0.432,,0.574,,466.68,49.8,12.4,0.0,0.207,0.791,0.312,9045,0.002,0.521,0.147,344.8,514.4,,144.3,0.258,0.004,20.34,,0.264,0.081,7901.0,,11.0,31095,0.776,,
GA,South,South Atlantic,Terrell County,13273,13273,Region 20,1/1/2015,10289.0,,,,0.16,,0.354,5.9,0.295,0.008,,0.167,1138.8,92.8,0.202,11.0,11.0,,59.91,0.79,0.62,0.875,0.364,0.093,0.446,5.591,0.607,13.267,440.17,53.3,12.4,0.0,0.22,0.78,0.314,9022,0.002,0.521,0.15,344.8,457.9,,,0.239,0.004,18.02,,0.256,0.072,7882.0,,,31826,0.803,,
GA,South,South Atlantic,Thomas County,13275,13275,Region 15,1/1/2014,9713.0,0.188,3.7,3.9,0.11,0.22,0.326,5.696,0.262,0.435,0.137,0.371,548.1,66.6,0.213,81.0,39.0,110.0,52.42,0.85,0.71,0.615,0.488,0.08,0.326,,0.482,,273.71,58.5,11.99,0.002,0.178,0.802,0.218,44724,0.01,0.46,0.137,215.0,481.2,7.5,77.9,0.202,0.14,18.15,3.57,0.264,0.093,8959.0,0.212,121.0,35909,0.57,5.83,0.227
GA,South,South Atlantic,Thomas County,13275,13275,Region 15,1/1/2015,8910.0,0.188,3.7,3.9,0.1,0.22,0.31,5.1,0.263,0.621,0.137,0.375,641.7,66.7,0.198,87.0,40.0,183.0,58.78,0.84,0.65,0.714,0.529,0.072,0.292,6.017,0.493,14.981,301.73,54.1,11.99,0.003,0.171,0.801,0.223,44869,0.011,0.46,0.147,215.0,455.6,8.7,81.0,0.211,0.14,15.4,3.53,0.248,0.078,9002.0,0.212,134.0,38914,0.567,6.0,
GA,South,South Atlantic,Tift County,13277,13277,Region 24,1/1/2014,9190.0,0.154,3.6,3.6,0.11,0.166,0.32,6.511,0.306,0.74,0.085,0.175,622.3,68.7,0.271,84.0,40.0,28.0,83.86,0.85,0.72,0.72,0.514,0.102,0.383,,0.424,,698.11,64.4,12.28,0.009,0.165,0.795,0.167,41064,0.039,0.408,0.134,280.3,456.6,7.3,96.2,0.204,0.057,23.52,3.62,0.335,0.121,10392.0,0.151,175.0,33716,0.597,11.94,0.214
GA,South,South Atlantic,Tift County,13277,13277,Region 24,1/1/2015,8463.0,0.154,3.6,3.6,0.11,0.166,0.323,6.4,0.295,0.657,0.085,0.188,698.9,62.1,0.272,85.0,40.0,47.0,76.84,0.82,0.67,0.78,0.519,0.087,0.407,6.372,0.464,12.663,644.84,59.3,12.28,0.005,0.193,0.783,0.182,40286,0.032,0.408,0.132,280.3,458.2,7.6,55.7,0.192,0.057,21.68,,0.339,0.116,10039.0,0.151,199.0,33902,0.622,8.7,
GA,South,South Atlantic,Toombs County,13279,13279,Region 24,1/1/2014,9274.0,0.198,3.5,3.6,0.11,0.173,0.336,6.224,0.312,0.634,0.124,0.258,725.4,84.8,0.242,80.0,36.0,7.0,90.27,0.85,0.58,0.73,0.436,0.106,0.427,,0.378,,490.78,81.8,12.68,0.007,0.122,0.869,0.206,27315,0.03,0.511,0.137,187.4,486.3,6.6,65.8,0.203,0.087,30.79,8.49,0.3,0.121,9987.0,0.218,73.0,31820,0.63,6.37,0.207
GA,South,South Atlantic,Toombs County,13279,13279,Region 24,1/1/2015,9186.0,0.198,3.5,3.6,0.11,0.173,0.332,5.8,0.298,0.712,0.124,0.241,479.6,81.0,0.224,95.0,40.0,22.0,70.74,0.88,0.59,0.7,0.449,0.1,0.408,6.509,0.408,12.081,415.64,87.2,12.68,0.005,0.132,0.829,0.201,27273,0.035,0.511,0.139,187.4,496.0,7.4,52.6,0.201,0.087,28.36,9.98,0.283,0.103,10095.0,0.218,99.0,32311,0.662,5.9,
GA,South,South Atlantic,Towns County,13281,13281,Region 24,1/1/2014,8636.0,,2.1,1.8,0.08,,0.274,8.977,0.284,0.98,,0.0,103.7,24.9,0.219,85.0,27.0,9.0,60.66,0.89,0.69,0.875,0.405,0.083,0.306,,0.331,,123.93,99.7,13.38,0.0,0.103,0.741,0.184,10495,0.019,1.0,0.141,,371.6,,,0.11,0.0,23.63,20.85,0.249,0.124,8594.0,,29.0,37826,0.471,,
GA,South,South Atlantic,Towns County,13281,13281,Region 24,1/1/2015,10030.0,,2.1,1.8,0.08,,0.27,8.4,0.256,0.998,,0.0,152.5,24.1,0.223,86.0,37.0,9.0,49.29,0.9,0.71,,0.428,0.075,0.293,4.187,0.265,15.245,122.63,118.1,13.38,0.0,0.132,0.723,0.194,10771,0.015,1.0,0.139,,432.0,,,0.125,0.0,15.02,27.31,0.259,0.112,8547.0,,37.0,39854,0.477,,
GA,South,South Atlantic,Treutlen County,13283,13283,Insuff Data,1/1/2014,10520.0,0.181,4.4,2.5,0.11,0.222,0.348,5.873,0.31,,,0.111,908.4,67.6,0.215,,14.0,,82.95,0.86,0.66,0.775,0.23,0.14,0.431,,0.303,,196.94,64.4,12.72,0.5,0.12,0.835,0.429,6769,0.006,0.589,0.123,210.9,530.9,,,0.224,0.08,48.11,,0.27,0.087,9156.0,,44.0,32063,0.632,,
GA,South,South Atlantic,Treutlen County,13283,13283,Insuff Data,1/1/2015,9795.0,0.181,4.4,2.5,0.11,0.222,0.342,5.5,0.311,0.422,,0.083,590.9,65.9,0.206,,15.0,15.0,65.15,0.88,0.6,0.775,0.311,0.13,0.439,5.703,0.389,13.296,248.57,64.3,12.72,0.0,0.106,0.832,0.438,6712,0.004,0.589,0.119,210.9,496.1,,,0.218,0.08,31.4,,0.261,0.076,8793.0,,45.0,31917,0.661,,
GA,South,South Atlantic,Troup County,13285,13285,Region 16,1/1/2014,9799.0,0.149,3.9,3.9,0.11,0.149,0.309,6.523,0.3,0.59,0.102,0.154,641.9,69.3,0.212,50.0,52.0,44.0,81.31,0.83,0.58,0.64,0.507,0.101,0.321,,0.455,,340.79,61.0,13.0,0.0,0.184,0.851,0.204,68468,0.012,0.443,0.137,162.9,478.8,8.4,78.9,0.2,0.064,17.65,7.72,0.264,0.096,9257.0,0.169,48.0,38598,0.559,4.41,0.219
GA,South,South Atlantic,Troup County,13285,13285,Region 16,1/1/2015,8969.0,0.149,3.9,3.9,0.1,0.149,0.299,6.1,0.295,0.805,0.102,0.247,765.3,65.0,0.183,50.0,54.0,74.0,55.02,0.82,0.55,0.75,0.515,0.088,0.335,5.454,0.475,12.707,309.65,68.8,13.0,0.0,0.201,0.853,0.216,69053,0.013,0.443,0.129,162.9,454.4,9.2,66.1,0.2,0.064,18.52,10.55,0.228,0.083,8939.0,0.169,54.0,42044,0.556,5.5,
GA,South,South Atlantic,Turner County,13287,13287,Region 14,1/1/2014,11779.0,0.203,4.7,6.8,0.14,0.19,0.326,6.312,0.352,0.013,,0.0,619.7,93.5,0.26,45.0,23.0,,73.54,0.91,0.67,0.725,0.481,0.096,0.45,,0.568,,407.4,90.9,12.37,0.0,0.192,0.763,0.395,8410,0.018,0.497,0.134,303.5,539.9,,,0.22,0.046,31.42,,0.327,0.095,10098.0,0.136,12.0,26408,0.713,,0.144
GA,South,South Atlantic,Turner County,13287,13287,Region 14,1/1/2015,9808.0,0.203,4.7,6.8,0.15,0.19,0.343,6.1,0.331,0.093,,0.0,654.0,90.1,0.273,48.0,25.0,,74.78,0.88,0.74,0.725,0.478,0.08,0.458,6.08,0.436,14.269,538.35,83.8,12.37,0.0,0.223,0.801,0.402,8134,0.02,0.497,0.13,303.5,477.2,,,0.207,0.046,27.25,,0.342,0.104,9777.0,0.136,25.0,31817,0.728,,
GA,South,South Atlantic,Twiggs County,13289,13289,Insuff Data,1/1/2014,9172.0,0.338,4.6,,0.13,,0.32,6.883,0.319,0.1,,0.238,603.7,49.4,0.209,11.0,,,68.44,0.82,0.63,0.575,0.348,0.125,0.335,,0.412,,127.48,97.9,12.85,0.0,0.132,0.899,0.379,8447,0.007,1.0,0.149,125.8,522.2,,,0.211,0.008,40.16,,0.246,0.099,10974.0,,24.0,36549,0.77,,
GA,South,South Atlantic,Twiggs County,13289,13289,Insuff Data,1/1/2015,7506.0,0.338,4.6,,0.13,,0.314,6.4,0.308,0.243,,0.188,449.9,45.9,0.209,,,,80.65,0.81,0.56,0.475,0.381,0.11,0.338,6.942,0.427,9.471,137.87,86.8,12.85,0.009,0.12,0.953,0.375,8481,0.001,1.0,0.155,125.8,420.8,,,0.214,0.008,35.82,,0.246,0.093,12291.0,,24.0,36107,0.771,,
GA,South,South Atlantic,Union County,13291,13291,Region 24,1/1/2014,7702.0,0.134,3.0,2.2,0.08,0.13,0.266,8.737,0.278,1.0,,0.2,85.2,49.9,0.234,99.0,41.0,51.0,49.92,0.88,0.67,0.371,0.573,0.074,0.304,,0.178,,60.47,94.9,13.45,0.0,0.133,0.872,0.251,21451,0.006,1.0,0.139,48.5,343.3,,,0.122,0.0,26.27,11.75,0.27,0.125,8510.0,0.115,93.0,38334,0.339,,0.176
GA,South,South Atlantic,Union County,13291,13291,Region 24,1/1/2015,8607.0,0.134,3.0,2.2,0.08,0.13,0.252,8.3,0.263,1.0,,0.2,79.3,47.5,0.235,98.0,42.0,93.0,31.99,0.88,0.68,0.289,0.544,0.066,0.292,4.575,0.246,13.985,68.37,93.8,13.45,0.081,0.153,0.864,0.254,21566,0.005,1.0,0.143,48.5,367.2,,66.4,0.13,0.0,23.65,14.19,0.272,0.124,8534.0,0.115,102.0,39677,0.345,,
GA,South,South Atlantic,Upson County,13293,13293,Region 24,1/1/2014,10466.0,0.144,4.5,4.3,0.11,0.255,0.344,6.496,0.281,0.618,,0.217,541.2,68.0,0.209,56.0,22.0,4.0,60.12,0.77,0.44,0.64,0.468,0.111,0.353,,0.399,,240.06,64.4,12.98,0.0,0.15,0.798,0.303,26630,0.002,0.469,0.136,148.4,525.4,8.9,72.3,0.192,0.082,24.01,9.92,0.257,0.088,8981.0,,49.0,34395,0.572,,
GA,South,South Atlantic,Upson County,13293,13293,Region 24,1/1/2015,10724.0,0.144,4.5,4.3,0.11,0.255,0.324,6.1,0.292,0.55,,0.211,619.6,67.6,0.199,53.0,23.0,23.0,70.56,0.76,0.47,0.71,0.479,0.102,0.346,4.305,0.36,13.519,202.61,65.7,12.98,0.0,0.16,0.792,0.296,26566,0.003,0.469,0.13,148.4,522.9,9.1,63.1,0.193,0.082,23.13,13.14,0.248,0.073,8525.0,,49.0,34709,0.594,,
GA,South,South Atlantic,Walker County,13295,13295,Region 24,1/1/2014,9556.0,0.26,5.0,4.6,0.1,0.253,0.32,7.416,0.337,0.418,0.099,0.209,174.3,63.4,0.198,26.0,10.0,13.0,70.8,0.83,0.58,0.725,0.459,0.077,0.277,,0.295,,439.64,74.0,13.26,0.0,0.13,0.833,0.412,68094,0.003,0.439,0.132,118.9,479.2,8.4,57.9,0.134,0.105,23.05,15.36,0.246,0.075,10433.0,0.208,13.0,36628,0.538,3.84,0.161
GA,South,South Atlantic,Walker County,13295,13295,Region 24,1/1/2015,8580.0,0.26,5.0,4.6,0.1,0.253,0.334,7.0,0.321,0.575,0.099,0.231,151.3,60.1,0.196,26.0,10.0,34.0,68.09,0.82,0.57,0.73,0.478,0.071,0.257,4.632,0.302,11.602,338.46,72.4,13.26,0.0,0.139,0.85,0.408,68198,0.003,0.439,0.135,118.9,457.4,6.1,40.5,0.139,0.105,17.64,15.75,0.244,0.073,10337.0,0.208,16.0,40512,0.564,2.7,
GA,South,South Atlantic,Walton County,13297,13297,Region 24,1/1/2014,8366.0,0.135,3.0,2.9,0.08,0.164,0.283,7.566,0.294,0.411,0.11,0.294,372.4,45.0,0.203,44.0,23.0,21.0,72.44,0.87,0.59,0.74,0.567,0.085,0.219,,0.248,,231.26,59.7,13.22,0.245,0.172,0.82,0.512,84575,0.012,0.427,0.114,102.2,435.6,7.8,49.1,0.145,0.069,21.41,7.98,0.252,0.096,10128.0,0.125,26.0,52737,0.43,4.35,0.237
GA,South,South Atlantic,Walton County,13297,13297,Region 24,1/1/2015,8561.0,0.135,3.0,2.9,0.08,0.164,0.3,7.3,0.263,0.458,0.11,0.318,384.3,43.6,0.189,41.0,24.0,49.0,67.01,0.85,0.6,0.738,0.566,0.075,0.203,4.448,0.279,8.513,253.42,67.8,13.22,0.245,0.184,0.825,0.504,85754,0.012,0.427,0.118,102.2,430.4,7.8,49.2,0.142,0.069,14.57,10.41,0.234,0.089,10308.0,0.125,33.0,54294,0.437,4.6,
GA,South,South Atlantic,Ware County,13299,13299,Region 15,1/1/2014,9993.0,0.171,4.5,3.5,0.11,0.218,0.341,5.682,0.331,0.383,,0.263,649.8,89.4,0.225,77.0,47.0,76.0,99.99,0.85,0.57,0.76,0.403,0.111,0.396,,0.374,,360.06,71.1,12.38,0.0,0.149,0.791,0.18,35821,0.016,0.294,0.148,432.4,514.4,10.6,90.0,0.202,0.141,20.4,14.4,0.277,0.098,10800.0,0.157,75.0,33017,0.599,6.4,0.247
GA,South,South Atlantic,Ware County,13299,13299,Region 15,1/1/2015,9959.0,0.171,4.5,3.5,0.11,0.218,0.343,5.3,0.309,0.824,,0.194,617.0,89.8,0.206,87.0,45.0,123.0,90.81,0.84,0.59,0.77,0.409,0.103,0.407,5.488,0.408,15.075,346.47,78.0,12.38,0.0,0.178,0.793,0.173,35709,0.017,0.294,0.136,432.4,497.7,11.1,82.3,0.199,0.141,20.61,15.85,0.257,0.086,10426.0,0.157,98.0,32211,0.616,5.8,
GA,South,South Atlantic,Warren County,13301,13301,Insuff Data,1/1/2014,11699.0,0.363,10.0,2.9,0.13,,0.372,5.667,0.291,0.141,,0.375,576.8,66.9,0.213,52.0,35.0,,46.05,0.88,0.63,,0.371,0.158,0.425,,0.496,,531.91,80.8,12.91,0.0,0.161,0.804,0.282,5578,0.0,1.0,0.153,159.5,570.5,,,0.272,0.008,23.78,,0.261,0.088,7985.0,,18.0,30063,0.825,,
GA,South,South Atlantic,Warren County,13301,13301,Insuff Data,1/1/2015,10724.0,0.363,10.0,2.9,0.13,,0.352,5.3,0.316,0.079,,0.304,1057.7,62.9,0.195,54.0,36.0,,54.23,0.9,0.51,,0.384,0.125,0.428,5.849,0.57,14.342,575.54,69.0,12.91,0.055,0.137,0.796,0.274,5558,0.0,1.0,0.149,159.5,558.8,,,0.262,0.008,24.39,,0.239,0.079,7730.0,,18.0,30967,0.854,,
GA,South,South Atlantic,Washington County,13303,13303,Region 24,1/1/2014,10367.0,0.219,5.7,,0.12,0.262,0.347,4.759,0.278,0.063,,0.263,729.5,59.6,0.209,81.0,18.0,4.0,71.78,0.89,0.63,0.74,0.414,0.113,0.367,,0.469,,344.19,69.1,12.86,0.0,0.153,0.847,0.21,20879,0.004,0.656,0.148,226.3,509.6,12.8,107.3,0.24,0.157,24.52,,0.262,0.083,8487.0,0.156,38.0,33068,0.537,,
GA,South,South Atlantic,Washington County,13303,13303,Region 24,1/1/2015,7694.0,0.219,5.7,,0.11,0.262,0.353,4.7,0.285,0.41,,0.188,809.4,58.9,0.192,77.0,24.0,19.0,52.68,0.86,0.63,0.82,0.421,0.108,0.368,5.791,0.484,11.974,315.36,56.8,12.86,0.0,0.15,0.843,0.213,20676,0.004,0.656,0.143,226.3,403.2,10.6,60.5,0.219,0.157,22.36,6.78,0.242,0.076,8961.0,0.156,44.0,36807,0.541,,
GA,South,South Atlantic,Wayne County,13305,13305,Region 16,1/1/2014,10334.0,0.275,4.9,4.4,0.09,0.242,0.334,6.208,0.309,0.46,,0.303,418.8,89.1,0.242,40.0,21.0,9.0,108.43,0.87,0.51,0.62,0.464,0.115,0.346,,0.362,,711.59,91.6,12.69,0.008,0.134,0.788,0.283,30305,0.015,0.579,0.116,253.2,478.0,12.9,126.1,0.183,0.127,27.77,19.49,0.3,0.113,11572.0,0.178,40.0,37957,0.574,8.77,0.227
GA,South,South Atlantic,Wayne County,13305,13305,Region 16,1/1/2015,9699.0,0.275,4.9,4.4,0.09,0.242,0.324,5.9,0.296,0.508,,0.235,379.5,83.4,0.216,36.0,23.0,17.0,125.02,0.86,0.48,0.76,0.449,0.106,0.338,4.847,0.397,15.509,683.61,89.5,12.69,0.003,0.138,0.827,0.273,30077,0.016,0.579,0.124,253.2,463.1,13.1,90.0,0.182,0.127,24.86,22.47,0.273,0.089,11248.0,0.178,37.0,38081,0.581,9.5,
