State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
GA,South,South Atlantic,Jenkins County,13165,13165,Region 24,1/1/2014,11626.0,,,,0.11,,0.319,5.284,0.272,0.428,,0.188,699.6,71.6,0.258,49.0,,,92.07,0.8,0.56,0.675,0.41,0.172,0.482,,0.569,,,78.6,12.74,0.0,0.179,0.744,0.452,9213,0.024,0.661,0.135,258.2,541.5,,,0.259,0.07,22.04,,0.321,0.118,10219.0,,11.0,29525,0.651,,
GA,South,South Atlantic,Jenkins County,13165,13165,Region 24,1/1/2015,11561.0,,,,0.12,,0.317,5.1,0.28,0.215,,0.2,607.8,62.1,0.25,33.0,,11.0,40.37,0.77,0.48,0.725,0.401,0.162,0.489,5.325,0.629,8.683,,89.7,12.74,0.0,0.205,0.755,0.437,9269,0.021,0.661,0.134,258.2,535.3,,114.4,0.241,0.07,23.59,,0.314,0.103,9288.0,,,28445,0.652,,
GA,South,South Atlantic,Johnson County,13167,13167,Region 1,1/1/2014,9054.0,0.259,5.6,4.8,0.11,0.149,0.325,6.058,0.307,0.001,,0.286,421.1,63.8,0.215,30.0,,9.0,74.83,0.86,0.58,0.775,0.381,0.13,0.375,,0.365,,422.19,66.2,12.8,0.339,0.153,0.699,0.415,9897,0.001,0.654,0.134,419.2,421.5,,,0.217,0.076,18.85,,0.266,0.093,9594.0,0.197,20.0,28995,0.627,,
GA,South,South Atlantic,Johnson County,13167,13167,Region 1,1/1/2015,9443.0,0.259,5.6,4.8,0.1,0.149,0.317,6.0,0.308,0.507,,0.333,515.3,60.6,0.203,40.0,,10.0,76.27,0.87,0.66,0.675,0.406,0.127,0.391,5.641,0.391,13.135,355.93,48.0,12.8,0.0,0.171,0.699,0.489,9767,0.001,0.654,0.126,419.2,432.9,,120.1,0.201,0.076,20.08,,0.254,0.08,9913.0,0.197,20.0,29565,0.626,,
GA,South,South Atlantic,Jones County,13169,13169,Region 24,1/1/2014,6843.0,0.173,4.8,4.4,0.11,0.233,0.31,7.877,0.296,0.336,,0.417,157.8,26.7,0.182,18.0,10.0,7.0,62.75,0.84,0.73,0.72,0.567,0.086,0.202,,0.323,,109.82,70.0,12.98,0.0,0.144,0.883,0.387,28577,0.002,0.677,0.13,66.3,388.2,12.7,,0.148,0.033,24.59,11.27,0.222,0.09,9789.0,0.243,14.0,51941,0.381,,0.183
GA,South,South Atlantic,Jones County,13169,13169,Region 24,1/1/2015,6354.0,0.173,4.8,4.4,0.11,0.233,0.317,7.6,0.284,0.565,,0.435,178.5,26.5,0.18,21.0,11.0,21.0,67.47,0.82,0.7,0.7,0.547,0.072,0.23,4.189,0.321,7.349,98.23,59.4,12.98,0.0,0.154,0.886,0.405,28569,0.001,0.677,0.131,66.3,347.9,,37.5,0.149,0.033,21.15,11.08,0.221,0.084,9799.0,0.243,11.0,51650,0.398,,
GA,South,South Atlantic,Lamar County,13171,13171,Region 24,1/1/2014,10485.0,,,,0.11,,0.332,6.972,0.282,0.039,,0.208,593.6,36.6,0.21,38.0,10.0,31.0,54.49,0.82,0.56,0.67,0.437,0.106,0.288,,0.31,,462.87,70.7,13.06,0.0,0.166,0.804,0.41,18057,0.004,0.609,0.118,120.3,508.4,,69.7,0.2,0.02,14.67,13.04,0.255,0.087,10065.0,,28.0,38892,0.594,,
GA,South,South Atlantic,Lamar County,13171,13171,Region 24,1/1/2015,8888.0,,,,0.11,,0.343,6.8,0.287,0.698,,0.2,509.5,36.2,0.199,44.0,11.0,45.0,51.36,0.85,0.5,0.775,0.472,0.104,0.294,4.645,0.3,11.63,419.35,69.4,13.06,0.0,0.176,0.799,0.412,17959,0.005,0.609,0.121,120.3,481.1,,,0.189,0.02,13.55,14.35,0.245,0.079,9993.0,,28.0,40915,0.639,,
GA,South,South Atlantic,Lanier County,13173,13173,Region 24,1/1/2014,9834.0,0.218,4.6,4.5,0.09,0.197,0.292,7.45,0.298,0.319,,0.4,403.7,53.2,0.272,19.0,9.0,,130.75,0.71,0.4,0.625,0.597,0.077,0.372,,0.47,,211.76,53.2,12.24,0.0,0.156,0.797,0.336,10400,0.019,0.711,0.112,133.0,538.8,,94.0,0.174,0.024,,,0.338,0.118,11508.0,,10.0,33481,0.646,,
GA,South,South Atlantic,Lanier County,13173,13173,Region 24,1/1/2015,8104.0,0.218,4.6,4.5,0.09,0.197,0.318,7.1,0.269,0.305,,0.429,423.1,51.4,0.227,19.0,10.0,,118.32,0.72,0.47,0.775,0.625,0.072,0.375,5.388,0.462,6.731,247.83,49.7,12.24,0.0,0.175,0.827,0.33,10408,0.015,0.711,0.113,133.0,466.4,,,0.175,0.024,,,0.287,0.086,11201.0,,10.0,35101,0.637,,
GA,South,South Atlantic,Laurens County,13175,13175,Region 24,1/1/2014,9404.0,0.198,4.0,3.6,0.11,0.212,0.352,6.443,0.308,0.34,0.092,0.236,713.3,62.4,0.192,98.0,41.0,114.0,64.66,0.86,0.68,0.664,0.43,0.117,0.41,,0.428,,405.57,72.9,12.75,0.0,0.136,0.866,0.209,48041,0.009,0.566,0.118,414.1,485.6,8.2,53.9,0.212,0.048,17.7,11.4,0.238,0.086,9777.0,0.202,106.0,34910,0.564,6.3,0.257
GA,South,South Atlantic,Laurens County,13175,13175,Region 24,1/1/2015,10250.0,0.198,4.0,3.6,0.1,0.212,0.349,6.1,0.291,0.44,0.092,0.235,703.6,61.2,0.189,104.0,42.0,177.0,70.99,0.88,0.68,0.707,0.418,0.105,0.383,6.179,0.428,12.489,365.15,80.8,12.75,0.0,0.138,0.863,0.222,47999,0.009,0.566,0.127,414.1,503.0,6.6,52.8,0.209,0.048,19.63,11.6,0.239,0.075,9781.0,0.202,110.0,33974,0.564,6.1,
GA,South,South Atlantic,Lee County,13177,13177,Region 24,1/1/2014,7407.0,0.107,3.5,3.3,0.09,0.229,0.308,8.186,0.246,0.718,0.153,0.211,255.5,36.1,0.158,52.0,17.0,7.0,88.44,0.78,0.59,0.66,0.569,0.074,0.168,,0.242,,168.53,61.5,12.37,0.0,0.111,0.839,0.169,28746,0.01,0.362,0.111,92.9,379.0,9.5,78.4,0.13,0.038,22.35,6.76,0.197,0.075,8906.0,0.176,21.0,63338,0.35,,0.206
GA,South,South Atlantic,Lee County,13177,13177,Region 24,1/1/2015,7178.0,0.107,3.5,3.3,0.09,0.229,0.318,7.8,0.253,0.718,0.153,0.263,285.3,34.4,0.158,52.0,17.0,14.0,66.3,0.85,0.61,0.73,0.577,0.07,0.161,3.991,0.257,4.87,258.74,53.5,12.37,0.0,0.114,0.852,0.149,29071,0.012,0.362,0.116,92.9,327.5,9.6,76.0,0.135,0.038,20.28,6.59,0.196,0.074,9505.0,0.176,31.0,63272,0.347,,
GA,South,South Atlantic,Liberty County,13179,13179,Region 24,1/1/2014,7779.0,0.212,4.6,3.1,0.09,0.263,0.331,5.221,0.273,0.413,0.183,0.269,557.7,66.1,0.199,26.0,79.0,210.0,72.92,0.83,0.54,0.67,0.624,0.097,0.279,,0.368,,402.33,65.3,12.76,0.001,0.156,0.816,0.235,65471,0.011,0.232,0.102,243.1,407.5,10.0,75.9,0.206,0.178,18.53,8.48,0.257,0.087,9408.0,0.13,206.0,41922,0.504,7.59,0.239
GA,South,South Atlantic,Liberty County,13179,13179,Region 24,1/1/2015,7719.0,0.212,4.6,3.1,0.09,0.263,0.32,4.9,0.285,0.728,0.183,0.286,1067.6,66.3,0.171,29.0,97.0,302.0,66.68,0.82,0.54,0.73,0.636,0.095,0.281,4.239,0.392,7.331,368.77,58.9,12.76,0.0,0.173,0.831,0.213,64135,0.009,0.232,0.102,243.1,412.0,8.8,67.9,0.203,0.178,18.19,7.54,0.218,0.077,9287.0,0.13,214.0,40175,0.495,7.9,
GA,South,South Atlantic,Lincoln County,13181,13181,Insuff Data,1/1/2014,9532.0,0.12,2.3,1.5,0.11,0.441,0.354,7.018,0.318,0.526,,0.4,279.8,38.8,0.238,25.0,13.0,,86.26,0.76,0.56,0.775,0.376,0.103,0.313,,0.506,,,86.2,12.9,0.013,0.198,0.794,0.496,7737,0.001,1.0,0.137,153.0,445.4,,,0.19,0.035,33.25,,0.274,0.129,10347.0,,13.0,36396,0.557,,
GA,South,South Atlantic,Lincoln County,13181,13181,Insuff Data,1/1/2015,9424.0,0.12,2.3,1.5,0.11,0.441,0.334,6.6,0.306,0.538,,0.25,452.4,41.2,0.221,26.0,13.0,26.0,86.29,0.84,0.56,0.725,0.361,0.097,0.32,5.278,0.517,20.68,377.55,85.4,12.9,0.0,0.202,0.784,0.492,7751,0.0,1.0,0.134,153.0,417.1,,,0.19,0.035,24.92,,0.256,0.11,9658.0,,13.0,35683,0.519,,
GA,South,South Atlantic,Long County,13183,13183,Insuff Data,1/1/2014,7646.0,0.16,3.3,,0.09,,0.305,7.285,0.264,0.077,,0.5,336.9,41.0,0.261,,,,120.39,0.83,0.5,0.725,0.48,0.071,0.319,,0.409,,,65.6,12.73,0.03,0.172,0.797,0.296,16048,0.038,0.813,0.101,41.1,408.8,,105.1,0.169,0.05,27.1,11.29,0.329,0.123,11765.0,,6.0,39176,0.587,,
GA,South,South Atlantic,Long County,13183,13183,Insuff Data,1/1/2015,7339.0,0.16,3.3,,0.09,,0.293,6.9,0.261,0.322,,0.467,336.5,37.7,0.24,,,6.0,111.95,0.81,0.45,0.725,0.511,0.069,0.306,3.898,0.403,4.985,169.96,47.1,12.73,0.016,0.204,0.788,0.259,16624,0.021,0.813,0.1,41.1,395.1,,61.4,0.17,0.05,19.65,10.34,0.302,0.111,12236.0,,6.0,41147,0.613,,
GA,South,South Atlantic,Lowndes County,13185,13185,Region 24,1/1/2014,9260.0,0.188,4.2,3.2,0.11,0.246,0.313,6.219,0.273,0.706,0.141,0.338,1242.3,48.7,0.243,51.0,53.0,64.0,71.47,0.88,0.62,0.616,0.602,0.087,0.323,,0.413,,307.92,46.0,12.11,0.332,0.177,0.825,0.151,114552,0.009,0.272,0.111,437.0,462.4,13.5,102.9,0.202,0.089,11.82,4.45,0.301,0.101,9520.0,0.22,65.0,36920,0.517,6.12,0.195
GA,South,South Atlantic,Lowndes County,13185,13185,Region 24,1/1/2015,8885.0,0.188,4.2,3.2,0.11,0.246,0.293,5.8,0.284,0.728,0.141,0.294,926.2,46.3,0.223,49.0,57.0,128.0,67.51,0.89,0.66,0.675,0.615,0.08,0.305,5.12,0.424,9.253,310.25,50.0,12.11,0.346,0.186,0.84,0.144,112916,0.008,0.272,0.106,437.0,447.3,12.7,100.2,0.203,0.089,11.99,4.8,0.275,0.091,9634.0,0.22,68.0,37138,0.525,4.8,
GA,South,South Atlantic,Lumpkin County,13187,13187,Region 24,1/1/2014,7748.0,0.103,1.4,2.5,0.07,,0.288,8.24,0.22,0.363,,0.302,149.8,25.7,0.242,37.0,24.0,49.0,74.44,0.87,0.63,0.81,0.537,0.093,0.261,,0.282,,285.2,62.4,13.46,0.004,0.185,0.772,0.435,30611,0.01,0.839,0.091,62.5,361.1,,39.8,0.144,0.006,23.57,11.27,0.283,0.12,10553.0,,82.0,44289,0.463,,
GA,South,South Atlantic,Lumpkin County,13187,13187,Region 24,1/1/2015,7312.0,0.103,1.4,2.5,0.08,,0.293,7.9,0.226,0.877,,0.343,140.5,22.5,0.232,29.0,26.0,71.0,61.52,0.84,0.62,0.75,0.57,0.086,0.27,5.019,0.31,4.574,291.14,65.6,13.46,0.0,0.191,0.81,0.425,30918,0.004,0.839,0.095,62.5,350.9,,52.5,0.145,0.006,26.34,11.71,0.277,0.101,9903.0,,78.0,42919,0.461,,
GA,South,South Atlantic,Macon County,13193,13193,Region 24,1/1/2014,9710.0,0.2,,,0.13,0.35,0.342,4.98,0.272,0.169,,0.238,381.8,56.2,0.25,,12.0,,70.61,0.76,0.51,0.625,0.343,0.147,0.449,,0.447,,347.07,71.4,12.69,0.0,0.17,0.786,0.343,14263,0.021,0.532,0.143,458.1,468.5,,74.7,0.264,0.09,22.68,,0.304,0.117,8888.0,0.21,42.0,28654,0.699,,
GA,South,South Atlantic,Macon County,13193,13193,Region 24,1/1/2015,9383.0,0.2,,,0.13,0.35,0.338,4.6,0.29,0.426,,0.222,385.6,54.7,0.25,7.0,14.0,14.0,88.36,0.74,0.59,0.525,0.361,0.142,0.437,5.232,0.459,10.517,309.03,59.1,12.69,0.0,0.156,0.765,0.389,14009,0.017,0.532,0.136,458.1,461.9,,,0.255,0.09,20.69,,0.307,0.108,8547.0,0.21,43.0,28844,0.697,9.3,
GA,South,South Atlantic,Madison County,13195,13195,Region 24,1/1/2014,10198.0,0.24,4.6,4.6,0.09,0.254,0.317,8.338,0.27,0.038,0.152,0.048,240.0,49.9,0.227,18.0,4.0,7.0,77.37,0.87,0.6,0.77,0.371,0.068,0.266,,0.325,,575.14,98.6,13.17,0.003,0.135,0.825,0.365,27922,0.009,0.919,0.118,51.9,468.3,,68.3,0.135,0.014,35.25,14.51,0.271,0.118,9978.0,0.168,21.0,40209,0.494,5.18,0.199
GA,South,South Atlantic,Madison County,13195,13195,Region 24,1/1/2015,9591.0,0.24,4.6,4.6,0.09,0.254,0.309,8.0,0.277,0.333,0.152,0.179,404.7,46.6,0.218,18.0,4.0,7.0,69.31,0.87,0.62,0.74,0.419,0.058,0.27,4.061,0.294,11.102,497.35,93.0,13.17,0.0,0.129,0.835,0.378,28057,0.014,0.919,0.116,51.9,466.0,,59.0,0.138,0.014,31.32,16.94,0.264,0.099,9734.0,0.168,18.0,43611,0.505,6.2,
GA,South,South Atlantic,Marion County,13197,13197,Insuff Data,1/1/2014,8784.0,0.332,5.8,4.7,0.1,,0.319,3.325,0.32,,,0.333,285.8,66.4,0.241,11.0,11.0,,58.05,0.87,0.54,0.725,0.364,0.081,0.373,,0.511,,,71.4,12.73,0.0,0.15,0.795,0.45,8711,0.018,1.0,0.141,139.6,440.8,,,0.177,0.417,36.55,,0.284,0.132,8958.0,0.259,23.0,33633,0.639,,
