Year,County,Adult obesity
1/1/2015,Meriwether County,0.328
1/1/2014,Miller County,0.316
1/1/2015,Miller County,0.316
1/1/2014,Mitchell County,0.313
1/1/2015,Mitchell County,0.317
1/1/2014,Monroe County,0.326
1/1/2015,Monroe County,0.343
1/1/2014,Montgomery County,0.327
1/1/2015,Montgomery County,0.362
1/1/2014,Morgan County,0.315
1/1/2015,Morgan County,0.31
1/1/2014,Murray County,0.277
1/1/2015,Murray County,0.282
1/1/2014,Muscogee County,0.358
1/1/2015,Muscogee County,0.362
1/1/2014,Newton County,0.317
1/1/2015,Newton County,0.335
1/1/2014,Oconee County,0.267
1/1/2015,Oconee County,0.291
1/1/2014,Oglethorpe County,0.289
1/1/2015,Oglethorpe County,0.294
1/1/2014,Paulding County,0.256
1/1/2015,Paulding County,0.268
1/1/2014,Peach County,0.337
1/1/2015,Peach County,0.348
1/1/2014,Pickens County,0.259
1/1/2015,Pickens County,0.271
1/1/2014,Pierce County,0.306
1/1/2015,Pierce County,0.308
1/1/2014,Pike County,0.313
1/1/2015,Pike County,0.307
1/1/2014,Polk County,0.264
1/1/2015,Polk County,0.283
1/1/2014,Pulaski County,0.307
1/1/2015,Pulaski County,0.319
1/1/2014,Putnam County,0.323
1/1/2015,Putnam County,0.317
1/1/2014,Quitman County,0.312
1/1/2015,Quitman County,0.312
1/1/2014,Rabun County,0.292
1/1/2015,Rabun County,0.305
1/1/2014,Randolph County,0.365
1/1/2015,Randolph County,0.365
1/1/2014,Richmond County,0.33
1/1/2015,Richmond County,0.332
1/1/2014,Rockdale County,0.331
1/1/2015,Rockdale County,0.327
1/1/2014,Schley County,0.29
1/1/2015,Schley County,0.296
1/1/2014,Screven County,0.338
1/1/2015,Screven County,0.341
1/1/2014,Seminole County,0.322
1/1/2015,Seminole County,0.296
1/1/2014,Spalding County,0.34
1/1/2015,Spalding County,0.355
1/1/2014,Stephens County,0.317
1/1/2015,Stephens County,0.302
1/1/2014,Stewart County,0.346
1/1/2015,Stewart County,0.328
1/1/2014,Sumter County,0.372
1/1/2015,Sumter County,0.35
1/1/2014,Talbot County,0.348
1/1/2015,Talbot County,0.338
1/1/2014,Taliaferro County,0.352
1/1/2015,Taliaferro County,0.35
1/1/2014,Tattnall County,0.315
1/1/2015,Tattnall County,0.352
1/1/2014,Taylor County,0.33
1/1/2015,Taylor County,0.326
1/1/2014,Telfair County,0.306
1/1/2015,Telfair County,0.3
1/1/2014,Terrell County,0.386
1/1/2015,Terrell County,0.354
1/1/2014,Thomas County,0.326
1/1/2015,Thomas County,0.31
1/1/2014,Tift County,0.32
1/1/2015,Tift County,0.323
1/1/2014,Toombs County,0.336
1/1/2015,Toombs County,0.332
1/1/2014,Towns County,0.274
1/1/2015,Towns County,0.27
1/1/2014,Treutlen County,0.348
1/1/2015,Treutlen County,0.342
1/1/2014,Troup County,0.309
1/1/2015,Troup County,0.299
1/1/2014,Turner County,0.326
1/1/2015,Turner County,0.343
1/1/2014,Twiggs County,0.32
1/1/2015,Twiggs County,0.314
1/1/2014,Union County,0.266
1/1/2015,Union County,0.252
1/1/2014,Upson County,0.344
1/1/2015,Upson County,0.324
1/1/2014,Walker County,0.32
1/1/2015,Walker County,0.334
1/1/2014,Walton County,0.283
1/1/2015,Walton County,0.3
1/1/2014,Ware County,0.341
1/1/2015,Ware County,0.343
1/1/2014,Warren County,0.372
1/1/2015,Warren County,0.352
1/1/2014,Washington County,0.347
1/1/2015,Washington County,0.353
1/1/2014,Wayne County,0.334
1/1/2015,Wayne County,0.324
1/1/2014,Webster County,0.311
1/1/2015,Webster County,0.315
1/1/2014,Wheeler County,0.316
1/1/2015,Wheeler County,0.327
1/1/2014,White County,0.286
1/1/2015,White County,0.275
1/1/2014,Whitfield County,0.284
1/1/2015,Whitfield County,0.288
1/1/2014,Wilcox County,0.31
1/1/2015,Wilcox County,0.329
1/1/2014,Wilkes County,0.327
1/1/2015,Wilkes County,0.337
1/1/2014,Wilkinson County,0.321
1/1/2015,Wilkinson County,0.34
1/1/2014,Worth County,0.316
1/1/2015,Worth County,0.342
